,All-predicted,Crowd-predicted,Factorization,NoMethod,Overlap - Dist,clust_quality,num_experts,num_factors
Crowd,12.737991266375547,12.68995633187773,12.807860262008735,12.781659388646288,12.751091703056769,12.759825327510917,,50
Expert,8.333333333333334,8.833333333333334,8.333333333333334,8.333333333333334,8.5,8.0,,50
Overall,12.625531914893617,12.591489361702127,12.693617021276596,12.668085106382978,12.642553191489363,12.638297872340425,,50
