,year,event,Method,weight,num_experts,num_factors,Crowd,Expert,Overall
55,0.0,0.0,clust_quality,0.0,0.0,50.0,1.7772925764192142,5.0,1.8595744680851063
56,0.0,0.0,clust_quality,0.1,0.0,50.0,1.7772925764192142,5.0,1.8595744680851063
57,0.0,0.0,clust_quality,0.2,0.0,50.0,1.777292576419214,5.0,1.8595744680851063
58,0.0,0.0,clust_quality,0.3,0.0,50.0,1.777292576419214,5.0,1.8595744680851063
59,0.0,0.0,clust_quality,0.4,0.0,50.0,1.777292576419214,5.0,1.8595744680851063
60,0.0,0.0,clust_quality,0.5,0.0,50.0,1.777292576419214,5.0,1.8595744680851063
61,0.0,0.0,clust_quality,0.6,0.0,50.0,1.777292576419214,5.0,1.8595744680851063
62,0.0,0.0,clust_quality,0.7,0.0,50.0,1.7772925764192142,5.0,1.8595744680851063
63,0.0,0.0,clust_quality,0.8,0.0,50.0,1.7816593886462884,5.0,1.8638297872340428
64,0.0,0.0,clust_quality,0.9,0.0,50.0,1.7816593886462884,5.0,1.8638297872340428
65,0.0,0.0,clust_quality,1.0,0.0,50.0,1.7816593886462884,5.0,1.8638297872340428
