,year,event,Method,weight,num_experts,num_factors,Crowd,Expert,Overall
0,0.0,0.0,All-predicted,0.0,0.0,50.0,12.737991266375547,8.333333333333334,12.625531914893616
1,0.0,0.0,All-predicted,0.1,0.0,50.0,12.737991266375547,8.333333333333334,12.625531914893616
2,0.0,0.0,All-predicted,0.2,0.0,50.0,12.737991266375547,8.333333333333334,12.625531914893616
3,0.0,0.0,All-predicted,0.3,0.0,50.0,12.737991266375547,8.333333333333334,12.625531914893616
4,0.0,0.0,All-predicted,0.4,0.0,50.0,12.768558951965066,8.833333333333334,12.668085106382975
5,0.0,0.0,All-predicted,0.5,0.0,50.0,12.759825327510915,8.833333333333334,12.659574468085106
6,0.0,0.0,All-predicted,0.6,0.0,50.0,12.777292576419216,8.833333333333334,12.676595744680851
7,0.0,0.0,All-predicted,0.7,0.0,50.0,12.777292576419216,8.833333333333334,12.676595744680851
8,0.0,0.0,All-predicted,0.8,0.0,50.0,12.751091703056767,8.833333333333334,12.651063829787233
9,0.0,0.0,All-predicted,0.9,0.0,50.0,12.751091703056767,8.833333333333334,12.651063829787233
10,0.0,0.0,All-predicted,1.0,0.0,50.0,12.62882096069869,8.666666666666666,12.527659574468085
11,0.0,0.0,Crowd-predicted,0.0,0.0,50.0,12.720524017467248,8.333333333333334,12.608510638297872
12,0.0,0.0,Crowd-predicted,0.1,0.0,50.0,12.720524017467248,8.333333333333334,12.608510638297872
13,0.0,0.0,Crowd-predicted,0.2,0.0,50.0,12.720524017467248,8.333333333333334,12.608510638297872
14,0.0,0.0,Crowd-predicted,0.3,0.0,50.0,12.720524017467248,8.333333333333334,12.608510638297872
15,0.0,0.0,Crowd-predicted,0.4,0.0,50.0,12.720524017467248,8.333333333333334,12.608510638297872
16,0.0,0.0,Crowd-predicted,0.5,0.0,50.0,12.68995633187773,8.833333333333334,12.591489361702127
17,0.0,0.0,Crowd-predicted,0.6,0.0,50.0,12.68995633187773,8.833333333333334,12.591489361702127
18,0.0,0.0,Crowd-predicted,0.7,0.0,50.0,12.716157205240176,8.833333333333334,12.617021276595745
19,0.0,0.0,Crowd-predicted,0.8,0.0,50.0,12.68995633187773,8.833333333333334,12.591489361702127
20,0.0,0.0,Crowd-predicted,0.9,0.0,50.0,12.68122270742358,9.0,12.587234042553193
21,0.0,0.0,Crowd-predicted,1.0,0.0,50.0,12.62882096069869,8.666666666666666,12.527659574468085
22,0.0,0.0,Factorization,0.0,0.0,50.0,12.781659388646288,8.333333333333334,12.668085106382975
23,0.0,0.0,Factorization,0.1,0.0,50.0,12.781659388646288,8.333333333333334,12.668085106382975
24,0.0,0.0,Factorization,0.2,0.0,50.0,12.781659388646288,8.333333333333334,12.668085106382975
25,0.0,0.0,Factorization,0.3,0.0,50.0,12.781659388646288,8.333333333333334,12.668085106382975
26,0.0,0.0,Factorization,0.4,0.0,50.0,12.781659388646288,8.333333333333334,12.668085106382975
27,0.0,0.0,Factorization,0.5,0.0,50.0,12.807860262008735,8.333333333333334,12.693617021276596
28,0.0,0.0,Factorization,0.6,0.0,50.0,12.807860262008735,8.333333333333334,12.693617021276596
29,0.0,0.0,Factorization,0.7,0.0,50.0,12.781659388646288,8.5,12.672340425531914
30,0.0,0.0,Factorization,0.8,0.0,50.0,12.764192139737993,8.666666666666666,12.659574468085106
31,0.0,0.0,Factorization,0.9,0.0,50.0,12.790393013100436,8.333333333333334,12.676595744680851
32,0.0,0.0,Factorization,1.0,0.0,50.0,12.62882096069869,8.666666666666666,12.527659574468085
33,0.0,0.0,No Method,0.0,0.0,0.0,12.781659388646288,8.333333333333334,12.668085106382975
34,0.0,0.0,No Method,0.1,0.0,0.0,12.781659388646288,8.333333333333334,12.668085106382975
35,0.0,0.0,No Method,0.2,0.0,0.0,12.781659388646288,8.333333333333334,12.668085106382975
36,0.0,0.0,No Method,0.3,0.0,0.0,12.781659388646288,8.333333333333334,12.668085106382975
37,0.0,0.0,No Method,0.4,0.0,0.0,12.781659388646288,8.333333333333334,12.668085106382975
38,0.0,0.0,No Method,0.5,0.0,0.0,12.781659388646288,8.333333333333334,12.668085106382975
39,0.0,0.0,No Method,0.6,0.0,0.0,12.807860262008735,8.333333333333334,12.693617021276596
40,0.0,0.0,No Method,0.7,0.0,0.0,12.781659388646288,8.5,12.672340425531914
41,0.0,0.0,No Method,0.8,0.0,0.0,12.781659388646288,8.5,12.672340425531914
42,0.0,0.0,No Method,0.9,0.0,0.0,12.790393013100436,8.333333333333334,12.676595744680851
43,0.0,0.0,No Method,1.0,0.0,0.0,12.62882096069869,8.666666666666666,12.527659574468085
44,0.0,0.0,Overlap - Dist,0.0,0.0,50.0,12.781659388646288,8.333333333333334,12.668085106382975
45,0.0,0.0,Overlap - Dist,0.1,0.0,50.0,12.807860262008735,8.333333333333334,12.693617021276596
46,0.0,0.0,Overlap - Dist,0.2,0.0,50.0,12.781659388646288,8.5,12.672340425531914
47,0.0,0.0,Overlap - Dist,0.3,0.0,50.0,12.790393013100436,8.333333333333334,12.676595744680851
48,0.0,0.0,Overlap - Dist,0.4,0.0,50.0,12.790393013100436,8.333333333333334,12.676595744680851
49,0.0,0.0,Overlap - Dist,0.5,0.0,50.0,12.751091703056767,8.5,12.642553191489364
50,0.0,0.0,Overlap - Dist,0.6,0.0,50.0,12.72489082969432,8.5,12.617021276595745
51,0.0,0.0,Overlap - Dist,0.7,0.0,50.0,12.72489082969432,8.5,12.617021276595745
52,0.0,0.0,Overlap - Dist,0.8,0.0,50.0,12.55021834061135,8.666666666666666,12.451063829787236
