,alternative_id,lambda_exp,vote,expert_sat,crowd_sat,satisfaction_area,satisfaction_sum,crowd_mean,expert_mean,mean_diff,crowd_std,expert_std,diff_sat
0,0.0,0.6296615843037219,2.4918677639221336,4.975066049472865,4.71544157862842,23.459633306106983,9.690507628101285,2.7589025286023037,2.466933813591153,-0.2919687150111505,0.1842831068375408,0.029043411370730427,0.25962447084444484
1,1.0,0.6870586463360737,4.077105797598457,4.940518818193625,4.652248851843344,22.984522999451723,9.592767670036968,3.7956849225549774,4.058537045330623,0.26285212277564574,0.3143896644503246,0.0740230757149207,0.28826996635028124
2,2.0,0.8045486783831606,1.9999999998880384,4.666666666629346,4.5162507461430055,21.075836815165474,9.182917412772351,2.2775139794406414,1.6666666666666667,-0.6108473127739746,0.6564073255913406,0.4714045207910317,0.15041592048634023
3,3.0,0.661284514885067,2.108720842445621,4.945673366456739,4.694910745455578,23.219495031691206,9.640584111912318,2.3890414836397413,2.0543942095494407,-0.3346472740903006,0.22107389320923015,0.07271289355998853,0.25076262100116065
4,4.0,0.92804275537464,3.323099895972836,4.958247673507688,4.814400988921873,23.87099250265499,9.77264866242956,3.3318441698308976,3.340367522424469,0.00852335259357151,0.2506880669297565,0.05257347822358785,0.14384668458581462
5,5.0,0.6615996903872667,2.0659600720356446,4.929029329034623,4.6384982703472035,22.863294017217736,9.567527599381826,2.389972097230897,2.0203147043153638,-0.3696573929155331,0.30693706969024537,0.07445801322814503,0.2905310586874199
6,6.0,0.9411139831612354,3.0045674013986816,4.971744806183921,4.855818327776681,24.1418895508964,9.827563133960602,3.0499868008163857,2.977314527559853,-0.0726722732565328,0.19915890710636458,0.03960926069259252,0.11592647840724002
7,7.0,0.7029368774461071,2.047066246623318,4.918356828007021,4.697129737366576,23.102160115811728,9.615486565373597,2.297317763254353,2.0439253596298106,-0.2533924036245425,0.3006025963931809,0.10001669860320143,0.2212270906404452
8,8.0,0.6795126764129377,3.102722298562474,4.961458750562456,4.778731626972745,23.70947984723349,9.740190377535201,3.2785808317904097,3.099522874671377,-0.17905795711903272,0.21860456599789757,0.04725737134004728,0.18272712358971077
9,9.0,0.736405926193676,2.7213392892526573,4.969265256785017,4.739124704121878,23.549967739764423,9.708389960906896,2.8904418858542242,2.7276418512414655,-0.16280003461275872,0.2932217290672908,0.03790511580598156,0.2301405526631397
10,10.0,0.7359664507907436,3.8982259943145703,4.958204904270167,4.7344370223537195,23.474308863192455,9.692641926623885,3.7354211497791754,3.9332300552839023,0.19780890550472696,0.2789627605190339,0.05685848381637487,0.22376788191644703
11,11.0,0.889295560001232,3.3278939188560908,4.938603282765933,4.812887241979628,23.76894073282287,9.751490524745561,3.3474401201285917,3.3183690007990023,-0.02907111932958939,0.25582782156691936,0.07549634006078322,0.12571604078630472
12,12.0,0.7788783982578675,1.8207390762776956,4.930211019768131,4.655584722265546,22.95301510117775,9.585795742033678,2.1035976103075016,1.7881272080253294,-0.31547040228217216,0.3260544057356034,0.08852976684753576,0.2746262975025848
13,13.0,0.7043914143182795,2.7854329991409843,4.970922995426542,4.77895226603175,23.755803713263006,9.749875261458293,2.9763982394976165,2.7592720339630485,-0.21712620553456796,0.1951834024183477,0.040129866691627686,0.1919707293947921
14,14.0,0.7624688260419968,2.0773981537942694,4.947510936956109,4.671580430314427,23.112695271850757,9.619091367270537,2.3442759182449286,2.028719548687953,-0.31555636955697564,0.3120600787983883,0.07292088799742982,0.27593050664168217
15,15.0,0.7944642835861463,3.5576309406151836,4.9775793397188375,4.873500606729801,24.258235932165473,9.851079946448639,3.6408748366594,3.543880127337356,-0.09699470932204424,0.1656165388166612,0.02913024962577541,0.10407873298903692
16,16.0,0.6757047703898664,4.1601763954798825,4.962803211397348,4.7698576364245175,23.67186479595576,9.732660847821865,3.9842040896504134,4.1807355975963345,0.1965315079459211,0.2171657623196213,0.04781989145968956,0.19294557497283016
17,17.0,0.7944642835861463,3.5576309406151836,4.9775793397188375,4.873500606729801,24.258235932165473,9.851079946448639,3.6408748366594,3.543880127337356,-0.09699470932204424,0.1656165388166612,0.02913024962577541,0.10407873298903692
18,18.0,0.6757047703898664,4.1601763954798825,4.962803211397348,4.7698576364245175,23.67186479595576,9.732660847821865,3.9842040896504134,4.1807355975963345,0.1965315079459211,0.2171657623196213,0.04781989145968956,0.19294557497283016
19,19.0,0.8519330056578676,3.9209611137962104,4.974183170898637,4.881370286249312,24.280829928785987,9.855553457147948,3.9108989316901885,3.928563967456805,0.017665035766616377,0.17129519427738812,0.03207280286464561,0.0928128846493248
20,20.0,0.9205262752953316,4.2525622099644345,4.991215452061761,4.880093233031333,24.35759675220803,9.871308685093094,4.22971602792555,4.256610995423231,0.0268949674976815,0.16393315517681134,0.0111332275172735,0.11112221903042752
21,21.0,0.663004139205871,3.680777557166781,4.93638155213472,4.766168798949733,23.52762773349556,9.702550351084454,3.615470272509173,3.651027712707457,0.035557440198283885,0.2874702167393724,0.08070617687194773,0.17021275318498663
22,22.0,0.8175275850559449,3.168698639584185,4.981220339453679,4.900753125360432,24.41173114668657,9.881973464814111,3.2043366240372744,3.1665330347058585,-0.03780358933141592,0.13481513465271755,0.023051212461031735,0.08046721409324675
23,23.0,0.5513157603954153,3.7066428285728446,4.8851716651850285,4.76639338896122,23.284649928878594,9.651565054146248,3.559651689845575,3.746828409178832,0.18717671933325697,0.26323865530907636,0.10863551491553712,0.11877827622380899
