,All-predicted,Case,Crowd-predicted,Factorization,NoMethod,Overlap - Dist,clust_quality,num_experts,num_factors
0,1.8553191489361704,Overall,1.8595744680851065,1.8510638297872342,1.8510638297872342,1.8553191489361702,1.8595744680851065,,50
1,1.7729257641921399,Crowd,1.777292576419214,1.7685589519650655,1.7685589519650655,1.7729257641921399,1.7772925764192142,,50
2,5.0,Expert,5.0,5.0,5.0,5.0,5.0,,50
